No.	Country	tot_cases	total_deaths	total_recovered	total_tests
171	Saudi Arabia	8713	3548	275476	4501104
172	Senegal	748	261	8050	134349
173	Serbia	3459	689	27908	842441
174	Seychelles	1341	\N	126	\N
175	Sierra Leone	246	69	1536	\N
176	Singapore	9579	27	53119	1745928
177	Sint Maarten	8104	17	133	1983
178	Slovakia	568	33	2014	304021
179	Slovenia	1220	129	2079	147091
180	Somalia	205	93	2396	\N
181	South Africa	10098	12618	497169	3480283
182	South Sudan	222	47	1290	12044
183	Spain	8645	28813	0	7955615
184	Sri Lanka	136	11	2765	195025
185	St. Barth	1619	\N	9	1699
186	St. Vincent Grenadines	523	\N	56	3033
187	Sudan	286	812	6456	401
188	Suriname	5731	55	2383	5889
189	Sweden	8489	5805	0	1030010
190	Switzerland	4505	1998	33900	910283
191	Syria	114	82	460	\N
192	Taiwan	20	7	457	85563
193	Tajikistan	858	66	7006	\N
194	Tanzania	8	21	183	\N
195	Thailand	49	58	3218	749213
196	Timor-Leste	19	\N	25	4238
197	Togo	146	27	878	55741
198	Trinidad and Tobago	548	12	140	18036
199	Tunisia	215	63	1397	119193
200	Turkey	3013	6058	234797	6061930
201	Turks and Caicos	8430	2	56	1940
202	UAE	6642	369	58153	6265918
203	UK	4744	41403	0	1.52E+07
204	USA	17346	177424	3095484	7.39E+07
205	Uganda	38	19	1194	336713
206	Ukraine	2255	2184	50441	1356698
207	Uruguay	433	41	1242	154431
208	Uzbekistan	1120	252	33261	1377915
209	Vatican City	14981	\N	12	\N
210	Venezuela	1322	311	26330	1678639
211	Vietnam	10	25	542	817208
212	Western Sahara	17	1	8	\N
213	World	2931	796376	1.55E+07	\N
214	Yemen	63	541	1058	120
215	Zambia	562	274	9126	103023
216	Zimbabwe	386	151	4525	149748
